ONS ID,ONS region ID,Constituency name,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,Con %,Lab %,LD %,RUK %,Green %,SNP %,PC %,DUP %,SF %,SDLP %,UUP %,APNI %,Other %,Other Win %
E14001366,E12000008,Mid Sussex,Alison,Bennett,Female,LD gain from Con,LD,Con,75969,53328,145,6662,14474,9397,21136,5921,2048,0,0,0,0,0,0,0,352,0,27.0678660258448,17.5733547771773,39.5264900043012,11.0728779009968,3.82997026536757,0,0,0,0,0,0,0,0.658276139360051,0
N05000010,N92000002,Mid Ulster,Cathal,Mallaghan,Male,SF hold,SF,DUP,74000,45445,246,14923,0,0,0,0,0,0,0,9162,24085,3722,2269,2001,4206,0,0,0,0,0,0,0,0,20.0520890328511,52.7127880764264,8.14602438116916,4.96596703946073,4.37941826617934,9.20531395679674,0
E14001367,E12000001,Middlesbrough and Thornaby East,Andy,McDonald,Male,Lab hold,Lab,RUK,75123,34407,92,9192,6174,16238,1037,7046,1522,0,0,0,0,0,0,0,2390,0,17.8961709035044,47.0680309574191,3.00588422852836,20.4237803994319,4.41172207890084,0,0,0,0,0,0,0,6.92773703585611,0
E14001368,E12000001,Middlesbrough South and East Cleveland,Luke,Myer,Male,Lab gain from Con,Lab,Con,70331,38035,529,214,16254,16468,2032,0,1446,0,0,0,0,0,0,0,1835,0,42.1481174152059,42.7030391038274,5.26916294990146,0,3.74961103619956,0,0,0,0,0,0,0,4.75832382532932,0
S14000045,S92000003,Midlothian,Kirsty,McNeill,Female,Lab gain from SNP,Lab,SNP,73554,44165,162,8167,3248,21480,2589,3276,0,13313,0,0,0,0,0,0,259,0,7.32736255555305,48.4580503981772,5.84068400748979,7.3905294741354,0,30.0336138245313,0,0,0,0,0,0,0.584293996886773,0
E14001369,E12000008,Milton Keynes Central,Emily,Darlington,Female,Lab gain from Con,Lab,Con,81078,47729,201,7291,12918,20209,4931,6245,3226,0,0,0,0,0,0,0,200,0,26.9518047152097,42.163571875652,10.2879198831629,13.0294179011058,6.7306488629251,0,0,0,0,0,0,0,0.417275192989777,0
E14001370,E12000008,Milton Keynes North,Chris,Curtis,Male,Lab gain from Con,Lab,Con,70709,45977,184,5430,13888,19318,3365,6164,3242,0,0,0,0,0,0,0,0,0,30.0860033361496,41.8491800437599,7.28970342930179,13.3532635774788,7.02324473040012,0,0,0,0,0,0,0,0,0
E14001371,E12000007,Mitcham and Morden,Siobhain,McDonagh,Female,Lab hold,Lab,Con,77282,45255,182,18761,6324,25085,3622,4135,4635,0,0,0,0,0,0,0,1454,0,13.918172414552,55.2083104078174,7.97147699011819,9.10051279794,10.2009375618989,0,0,0,0,0,0,0,3.20003521359245,0
W07000101,W92000004,Monmouthshire,Catherine,Fookes,Female,Lab gain from Con,Lab,Con,74823,50844,154,3338,17672,21010,2279,5438,2357,0,1273,0,0,0,0,0,815,0,34.6523393074238,41.1976940272168,4.46880269814503,10.6631632613044,4.62174987254402,0,2.49617632064003,0,0,0,0,0,1.59810188634848,0
W07000102,W92000004,Montgomeryshire and Glyndŵr,Steve,Witherden,Male,Lab gain from Con,Lab,RUK,74039,43259,193,3815,7775,12709,6470,8894,1744,0,5667,0,0,0,0,0,0,0,17.8933075577649,29.2483660130719,14.8899935561079,20.4685630120593,4.01362422903434,0,13.041977354322,0,0,0,0,0,0,0
S14000098,S92000003,"Moray West, Nairn and Strathspey",Graham,Leadbitter,Male,SNP hold,SNP,Con,77243,46554,167,1001,13960,8259,3785,3490,1676,14961,0,0,0,0,0,0,423,0,29.8794974422637,17.6772757432418,8.10128207872263,7.46987436056591,3.58725198518867,32.0220029537039,0,0,0,0,0,0,0.905374456882344,0
